Date,Site,P ,T,CO2_atm,CH4_atm,N2O_atm,CO2_hs,CH4_hs,N2O_hs,Ws,Khco2,Khch4,Khn2o,V_w,V_hs,FCO2,FCH4,FN2O
2016-07-27,4,0.9836,19.68,412.41,2.28,0.36,17344.14,2821.67,1.55,0.71,0.039467,0.001556,0.029034,0.03,0.03,6.92,44.65,0.35
2016-07-27,5,0.9836,19.68,521.94,2.20,0.36,16187.26,2093.67,2.51,0.71,0.039467,0.001556,0.029034,0.03,0.03,6.40,33.12,0.63
2016-08-03,1,0.9880,16.24,421.24,2.21,0.36,16533.48,3694.35,1.58,0.31,0.043791,0.001673,0.032401,0.03,0.03,4.78,41.27,0.26
2016-08-03,2,0.9880,16.24,471.28,2.36,0.36,14985.26,1802.31,1.07,0.31,0.043791,0.001673,0.032401,0.03,0.03,4.30,20.12,0.15
2016-08-03,3,0.9880,16.24,562.26,3.73,0.36,25998.81,54031.79,0.15,0.31,0.043791,0.001673,0.032401,0.03,0.03,7.54,603.86,-0.04
2016-08-03,4,0.9880,16.24,410.72,2.20,0.36,5913.87,3476.03,1.05,0.31,0.043791,0.001673,0.032401,0.03,0.03,1.63,38.83,0.15
2016-08-03,5,0.9880,16.24,456.29,7.02,0.37,10952.55,43345.91,0.45,0.31,0.043791,0.001673,0.032401,0.03,0.03,3.11,484.39,0.02
2016-08-11,1,0.9852,18.51,403.99,2.17,0.35,6350.59,7801.30,0.32,0.99,0.040862,0.001594,0.030118,0.03,0.03,2.87,144.30,-0.01
2016-08-11,2,0.9852,18.51,396.10,2.23,0.36,4493.43,1108.10,0.88,0.99,0.040862,0.001594,0.030118,0.03,0.03,1.97,20.46,0.18
2016-08-11,3,0.9852,18.51,395.30,2.04,0.36,31105.52,154714.16,0.15,0.99,0.040862,0.001594,0.030118,0.03,0.03,14.80,2862.43,-0.07
2016-08-11,4,0.9852,18.51,398.41,2.91,0.35,20814.09,32975.09,1.16,0.99,0.040862,0.001594,0.030118,0.03,0.03,9.84,610.04,0.28
2016-08-11,5,0.9852,18.51,475.62,2.55,0.36,20414.00,1653.83,0.20,0.99,0.040862,0.001594,0.030118,0.03,0.03,9.61,30.55,-0.05
2016-08-17,1,0.9855,18.23,383.12,2.15,0.35,7332.68,6114.44,0.24,1.48,0.041207,0.001604,0.030386,0.03,0.03,4.26,143.49,-0.05
2016-08-17,2,0.9855,18.23,395.71,2.22,0.36,5192.78,1939.41,0.84,1.48,0.041207,0.001604,0.030386,0.03,0.03,2.94,45.48,0.21
2016-08-17,3,0.9855,18.23,395.44,2.04,0.36,15546.01,3319.42,1.78,1.48,0.041207,0.001604,0.030386,0.03,0.03,9.28,77.88,0.62
2016-08-17,4,0.9855,18.23,413.97,2.18,0.36,13683.28,4707.35,0.91,1.48,0.041207,0.001604,0.030386,0.03,0.03,8.13,110.46,0.24
2016-08-17,5,0.9855,18.23,475.80,2.55,0.36,17582.36,4848.72,0.73,1.48,0.041207,0.001604,0.030386,0.03,0.03,10.48,113.77,0.16
2016-09-01,1,0.9892,15.22,385.49,3.36,0.36,4296.28,4418.74,11.00,0.67,0.045211,0.001712,0.033512,0.03,0.03,1.53,64.50,2.99
2016-09-01,2,0.9892,15.22,381.60,3.42,0.36,8382.38,6857.26,7.21,0.67,0.045211,0.001712,0.033512,0.03,0.03,3.13,100.13,1.93
2016-09-01,3,0.9892,15.22,483.53,10.15,0.37,17808.78,12285.54,1.04,0.67,0.045211,0.001712,0.033512,0.03,0.03,6.77,179.33,0.19
2016-09-01,4,0.9892,15.22,391.48,3.55,0.37,15048.05,9564.44,1.02,0.67,0.045211,0.001712,0.033512,0.03,0.03,5.73,139.68,0.18
2016-09-01,5,0.9892,15.22,477.55,2.56,0.36,20130.87,2533.88,0.12,0.67,0.045211,0.001712,0.033512,0.03,0.03,7.68,36.98,-0.07
2016-09-07,1,0.9900,14.43,408.32,3.41,0.37,3470.64,70.65,0.68,0.41,0.046358,0.001743,0.034411,0.03,0.03,0.98,0.80,0.07
2016-09-07,2,0.9900,14.43,618.18,3.41,0.37,6133.46,980.63,0.91,0.41,0.046358,0.001743,0.034411,0.03,0.03,1.77,11.65,0.12
2016-09-07,3,0.9900,14.43,398.24,3.42,0.38,12336.05,321.47,0.60,0.41,0.046358,0.001743,0.034411,0.03,0.03,3.83,3.79,0.05
2016-09-07,4,0.9900,14.43,421.93,5.69,0.37,13417.12,168.77,0.66,0.41,0.046358,0.001743,0.034411,0.03,0.03,4.17,1.94,0.07
2016-09-07,5,0.9900,14.43,396.70,3.44,0.38,13943.71,209.60,0.61,0.41,0.046358,0.001743,0.034411,0.03,0.03,4.35,2.46,0.05
2016-09-21,1,0.9905,13.97,408.95,3.40,0.37,2199.59,74.23,0.43,1.14,0.047046,0.001761,0.034950,0.03,0.03,0.92,1.34,0.03
2016-09-21,2,0.9905,13.97,410.83,3.40,0.37,4178.79,506.86,0.40,1.14,0.047046,0.001761,0.034950,0.03,0.03,1.93,9.56,0.01
2016-09-21,3,0.9905,13.97,411.20,3.38,0.36,11905.32,2026.46,0.21,1.14,0.047046,0.001761,0.034950,0.03,0.03,5.89,38.40,-0.06
2016-09-21,4,0.9905,13.97,410.26,3.71,0.37,14827.17,6758.61,0.64,1.14,0.047046,0.001761,0.034950,0.03,0.03,7.39,128.20,0.10
2016-09-21,5,0.9905,13.97,676.76,3.45,0.37,14688.72,129.57,0.20,1.14,0.047046,0.001761,0.034950,0.03,0.03,7.18,2.39,-0.06
2016-10-24,1,0.9927,11.66,471.85,3.44,0.38,2985.96,118.26,0.37,1.3,0.050739,0.001860,0.037856,0.03,0.03,1.38,2.29,0.00
2016-10-24,2,0.9927,11.66,437.96,3.69,0.37,4529.84,453.86,0.38,1.3,0.050739,0.001860,0.037856,0.03,0.03,2.25,8.99,0.00
2016-10-24,3,0.9927,11.66,422.04,3.57,0.37,9799.63,1243.38,0.18,1.3,0.050739,0.001860,0.037856,0.03,0.03,5.15,24.76,-0.07
2016-10-24,4,0.9927,11.66,416.97,3.55,0.38,9906.51,1724.11,0.20,1.3,0.050739,0.001860,0.037856,0.03,0.03,5.22,34.36,-0.07
2016-10-24,5,0.9927,11.66,546.17,3.68,0.37,18366.23,160.77,0.13,1.3,0.050739,0.001860,0.037856,0.03,0.03,9.79,3.14,-0.10
2016-11-17,1,0.9965,6.91,412.49,3.49,0.37,1926.40,106.56,0.52,1.73,0.059783,0.002100,0.045027,0.03,0.03,0.98,2.34,0.07
2016-11-17,2,0.9965,6.91,410.87,3.44,0.37,2696.51,199.89,0.41,1.73,0.059783,0.002100,0.045027,0.03,0.03,1.48,4.46,0.02
2016-11-17,3,0.9965,6.91,411.47,3.45,0.37,6611.84,325.27,0.33,1.73,0.059783,0.002100,0.045027,0.03,0.03,4.02,7.30,-0.02
2016-11-17,4,0.9965,6.91,414.70,3.45,0.38,7201.70,720.00,0.40,1.73,0.059783,0.002100,0.045027,0.03,0.03,4.40,16.25,0.01
2016-11-17,5,0.9965,6.91,414.69,3.48,0.37,12300.49,194.62,0.25,1.73,0.059783,0.002100,0.045027,0.03,0.03,7.70,4.34,-0.06
2016-12-07,1,1.0013,-2.58,448.25,3.56,0.38,1268.08,34.26,0.47,0.25,0.086114,0.002780,0.066268,0.03,0.03,0.21,0.26,0.02
2016-12-07,2,1.0013,-2.58,421.50,3.53,0.38,2082.33,98.01,0.39,0.25,0.086114,0.002780,0.066268,0.03,0.03,0.43,0.80,0.00
2016-12-07,3,1.0013,-2.58,420.21,3.50,0.38,4049.28,83.62,0.34,0.25,0.086114,0.002780,0.066268,0.03,0.03,0.94,0.68,-0.01
2016-12-07,4,1.0013,-2.58,420.28,3.50,0.38,6023.70,331.25,0.40,0.25,0.086114,0.002780,0.066268,0.03,0.03,1.46,2.77,0.00
2016-12-07,5,1.0013,-2.58,466.03,3.62,0.39,12264.95,1310.09,0.22,0.25,0.086114,0.002780,0.066268,0.03,0.03,3.07,11.06,-0.03
2017-02-16,1,0.9944,9.69,417.98,3.54,0.36,2007.56,124.42,0.49,0.78,0.054233,0.001953,0.040618,0.03,0.03,0.65,1.77,0.04
2017-02-16,2,0.9944,9.69,407.56,3.46,0.36,1411.93,199.06,0.46,0.78,0.054233,0.001953,0.040618,0.03,0.03,0.41,2.87,0.03
2017-02-16,3,0.9944,9.69,443.39,3.49,0.35,2622.07,50.31,0.39,0.78,0.054233,0.001953,0.040618,0.03,0.03,0.89,0.69,0.01
2017-02-16,4,0.9944,9.69,417.68,3.47,0.38,4018.23,192.03,0.45,0.78,0.054233,0.001953,0.040618,0.03,0.03,1.48,2.77,0.02
2017-02-16,5,0.9944,9.69,467.46,3.51,0.36,2948.97,87.29,0.24,0.78,0.054233,0.001953,0.040618,0.03,0.03,1.02,1.23,-0.04
2017-02-28,1,0.9995,1.75,431.52,3.51,0.39,2754.90,48.85,1.25,0.95,0.072439,0.002429,0.055175,0.03,0.03,1.02,0.67,0.27
2017-02-28,2,0.9995,1.75,425.34,3.49,0.37,3293.31,541.17,0.42,0.95,0.072439,0.002429,0.055175,0.03,0.03,1.26,7.93,0.02
2017-02-28,3,0.9995,1.75,436.58,3.58,0.37,5359.17,845.78,0.26,0.95,0.072439,0.002429,0.055175,0.03,0.03,2.16,12.43,-0.03
2017-02-28,4,0.9995,1.75,430.22,3.62,0.33,4202.91,1223.27,0.38,0.95,0.072439,0.002429,0.055175,0.03,0.03,1.65,18.00,0.02
2017-02-28,5,0.9995,1.75,435.92,3.61,0.38,6292.70,17.14,0.31,0.95,0.072439,0.002429,0.055175,0.03,0.03,2.57,0.20,-0.02
2017-04-04,1,0.9958,7.84,443.94,3.64,0.37,2281.55,158.89,0.40,1.58,0.057840,0.002048,0.043480,0.03,0.03,1.12,3.35,0.01
2017-04-04,2,0.9958,7.84,441.16,3.62,0.36,2545.10,851.29,0.36,1.58,0.057840,0.002048,0.043480,0.03,0.03,1.29,18.30,0.00
2017-04-04,3,0.9958,7.84,529.63,3.52,0.37,4761.04,220.46,0.27,1.58,0.057840,0.002048,0.043480,0.03,0.03,2.59,4.68,-0.05
2017-04-04,4,0.9958,7.84,446.04,3.63,0.38,7137.67,746.99,0.27,1.58,0.057840,0.002048,0.043480,0.03,0.03,4.10,16.05,-0.05
2017-04-04,5,0.9958,7.84,433.33,3.59,0.36,4440.22,184.34,0.32,1.58,0.057840,0.002048,0.043480,0.03,0.03,2.45,3.90,-0.02
